Title,Author,Genar,Original_price,final_price,Discount,Discount Percentage,Availability,Stock_Status
"

            Volpone
          
","
    Ben Jonson
  ",fiction,225,158,67,29.78,43,In Stock
"

            Twelfth Night
          
","
    William Shakespeare
  ",fiction,195,137,58,29.74,39,In Stock
"

            The Rudyard Kipling Collection
          
","
    Rudyard Kipling
  ",fiction,250,175,75,30.00,21,In Stock
"

            The Old Man and the Sea
          
","
    Ernest Hemingway
  ",fiction,295,222,73,24.75,26,In Stock
"

            Pride And Prejudice
          
","
    Jane Austen
  ",fiction,395,277,118,29.87,34,In Stock
"

            Oliver Twist
          
","
    Charles Dickens
  ",fiction,195,137,58,29.74,0,Out of Stock
"

            Henry Iv Part One
          
","
    William Shakespeare
  ",fiction,275,193,82,29.82,34,In Stock
"

            Candide
          
","
    Voltaire
  ",fiction,245,184,61,24.90,36,In Stock
"

            The Odyssey
          
","
    Homer
  ",fiction,150,113,37,24.67,46,In Stock
"

            Siddhartha
          
","
    Hermann Hesse
  ",fiction,195,147,48,24.62,2,In Stock
"

            Ulysses
          
","
    James Joyce
  ",fiction,195,147,48,24.62,0,Out of Stock
"

            Treasure Island
          
","
    Robert Louis Stevenson
  ",fiction,195,137,58,29.74,4,In Stock
"

            To The Lighthouse
          
","
    Virginia Woolf
  ",fiction,295,207,88,29.83,25,In Stock
"

            The Way Of The World
          
","
    William Congreve
  ",fiction,375,263,112,29.87,13,In Stock
"

            The Turn of the Screw
          
","
    Henry James
  ",fiction,195,147,48,24.62,38,In Stock
"

            The Thomas Hardy Collection
          
","
    Thomas Hardy
  ",fiction,250,175,75,30.00,26,In Stock
"

            The Sun Also Rises
          
","
    Ernest Hemingway
  ",fiction,349,262,87,24.93,8,In Stock
"

            The Sherlock Holmes Collection
          
","
    Sir Arthur Conan Doyle
  ",fiction,395,297,98,24.81,14,In Stock
"

            The Secret Agent
          
","
    Joseph Conrad
  ",fiction,395,277,118,29.87,14,In Stock
"

            The Scarlet Letter
          
","
    Nathaniel Hawthorne
  ",fiction,375,263,112,29.87,25,In Stock
"

            The Return Of The Native
          
","
    Thomas Hardy
  ",fiction,250,175,75,30.00,41,In Stock
"

            The Rainbow
          
","
    D.H. Lawrence
  ",fiction,295,222,73,24.75,12,In Stock
"

            The Professor
          
","
    Charlotte Bronte
  ",fiction,295,222,73,24.75,31,In Stock
"

            The Picture Of Dorian Gray
          
","
    Oscar Wilde
  ",fiction,295,207,88,29.83,38,In Stock
"

            The Merchant Of Venice
          
","
    William Shakespeare
  ",fiction,395,277,118,29.87,48,In Stock
"

            The Mayor Of Casterbridge
          
","
    Thomas Hardy
  ",fiction,350,262,88,25.14,31,In Stock
"

            The Jungle Books
          
","
    Rudyard Kipling
  ",fiction,250,175,75,30.00,3,In Stock
"

            The Jane Austen Collection
          
","
    Jane Austen
  ",fiction,250,175,75,30.00,29,In Stock
"

            The Invisible Man
          
","
    H.G. Wells
  ",fiction,295,207,88,29.83,36,In Stock
"

            The D.H. Lawrence Collection
          
","
    D.H. Lawrence
  ",fiction,250,175,75,30.00,22,In Stock
"

            The Charles Dickens Collection
          
","
    Charles Dickens
  ",fiction,295,222,73,24.75,38,In Stock
"

            Tess Of The D'Urbervilles
          
","
    Thomas Hardy
  ",fiction,250,175,75,30.00,44,In Stock
"

            Sons And Lovers
          
","
    D.H. Lawrence
  ",fiction,349,262,87,24.93,14,In Stock
"

            She Stoops To Conquer
          
","
    Oliver Goldsmith
  ",fiction,375,263,112,29.87,42,In Stock
"

            Persuasion
          
","
    Jane Austen
  ",fiction,295,222,73,24.75,28,In Stock
"

            Orlando
          
","
    Virginia Woolf
  ",fiction,495,347,148,29.90,35,In Stock
